Company,Source URL,Confidence
,http://www.nlng.com/PageEngine.aspx?&id=43,High
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High
,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium
,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium
,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium
,https://drive.google.com/file/d/0B-KlXDOYUc-OYmlybVRkNGFoTUU/edit,High
Nigerian Petroleum Development Company Limited (NPDC),http://www.belloil.com/clients/2013-2/,Medium 
,http://www.thisdaylive.com/articles/nnpc-npdc-adjudged-nigeria-s-5th-largest-crude-oil-producer/137156/,Low 
,http://dev.nnpcgroup.com/npdc/AboutUs/OurAssets/OffshoreAssets.aspx,Medium 
,http://wellman-wellington.org/clients.html,Medium 
Nigeria Petroleum Development Company Limited,http://www.fhnigeria.com/assets/,Medium 
,http://investor.serinusenergy.com/en/pr/199489/nigeria-oml-42-purchase-completed-by-neconde-kov-retains-option-to-participate,Medium 
Oando Exploration and Production Limited,http://www.oandoplc.com/wp-content/uploads/Q12006.pdf,Low 
,http://www.petroleumafrica.com/oando-signs-psc-and-gmou/,Low 
,http://www.petroleumafrica.com/oando-signs-agreements-on-agip-operated-block-opl-282/,Low 
,http://www.oandoplc.com/wp-content/uploads/Q12006.pdf,Low 
Omel Exploration & Production Nigeria Limited,http://www.sydneygateway.com/projects1.html,Medium 
,http://cisaninternational.com/projects.html,Medium 
ONGC Mittal Energy Limited,http://www.oilmapng.com/viewOilBlock_page.php?id=181,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=191,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=73,Low 
Optimum Petroleum Development Limited,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",Medium 
,http://www.afren.com/operations/nigeria/opl_310/,Medium 
Oranto Petroleum,http://www.simco-pet.com/files/opl-293_block_flyer%20Apr08.pdf,Medium 
,http://www.mbendi.com/indy/oilg/ogus/af/ng/p0005.htm,Low 
Orient Petroleum Resources,http://www.dailytimes.com.ng/article/orient-commence-oil-production-anambra,Low 
Oryx Petroleum Corporation Limited,http://www.resource-capital.ch/fileadmin/research/fremde/Heinz_Isler_Juli2013/Oryx_Petroleum_Macquarie_18.7.13.pdf,Medium 
Petrobras,http://www.subseaiq.com/data/Project.aspx?project_id=662,Medium 
,http://www.offshore-technology.com/projects/agbami/,Medium 
,http://www.oilmapng.com/viewOilBlock_page.php?id=41,Low 
,http://www.sec.gov/Archives/edgar/data/1119639/000129281405001477/pbra20050830_6k1.htm,High 
Petro-Scan Limited,http://petroscanlimited.com/clients.html,Medium 
Plantgeria Company Limited,http://www.plantgeria.com/index.php?page=client,Medium 
Platinum Natural Resources,http://allafrica.com/stories/201303190385.html?page=3,Low 
Point Engineering Limited,http://nielsonngr.com/about-us/projects.html,Medium 
,http://pointengineering.com/index.php/experience?start=1,Medium 
Port Harcourt Refining Company Limited (PHRC),http://www.mannprojects.com/previous-job/,Medium 
,http://www.sloteng.com/pastprojects.html,Medium 
,http://www.boltoggroup.com/clients.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
Prime Sources Limited,http://primesources.net/projects.html,Medium 
Royal Dutch Shell Plc,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8176559,Medium
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5502894,Medium
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8059482,Medium
Saipem Contracting Nigeria Limited,http://chattelng.com/PAST-JOBS.pdf,Medium 
,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,Medium 
,http://www.danelec-ltd.com/Clients.html,Medium 
,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Saipem International BV,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Saipem Nigeria,http://pointengineering.com/index.php/experience?start=1,Medium 
,http://www.belloil.com/clients/2014-3/,Medium 
